,raceId,year,round,circuitId,name,date,time,url,Rainfall,Air Temp,Track Temp,Wind Speed
977,990,2018,2,3,Bahrain Grand Prix,4/8/18,15:10:00,http://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix,Dry,27.982524271844653,32.19805825242719,0.9582524271844662
978,991,2018,3,17,Chinese Grand Prix,4/15/18,6:10:00,http://en.wikipedia.org/wiki/2018_Chinese_Grand_Prix,Minimal,19.446428571428573,37.01964285714286,1.8375000000000001
979,992,2018,4,73,Azerbaijan Grand Prix,4/29/18,12:10:00,http://en.wikipedia.org/wiki/2018_Azerbaijan_Grand_Prix,Dry,16.66140350877193,25.25175438596491,2.2228070175438597
980,993,2018,5,4,Spanish Grand Prix,5/13/18,13:10:00,http://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix,3/4 Race,16.050476190476193,32.33904761904761,1.9523809523809523
981,994,2018,6,6,Monaco Grand Prix,5/27/18,13:10:00,http://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix,Minimal,26.640707964601766,34.60973451327434,1.382300884955752
982,995,2018,7,7,Canadian Grand Prix,6/10/18,18:10:00,http://en.wikipedia.org/wiki/2018_Canadian_Grand_Prix,Dry,20.52358490566038,36.94905660377359,2.471698113207547
983,996,2018,8,34,French Grand Prix,6/24/18,14:10:00,http://en.wikipedia.org/wiki/2018_French_Grand_Prix,Minimal,24.546078431372553,42.03333333333334,1.8156862745098041
984,997,2018,9,70,Austrian Grand Prix,7/1/18,13:10:00,http://en.wikipedia.org/wiki/2018_Austrian_Grand_Prix,Dry,23.176086956521743,45.87934782608695,2.4847826086956526
985,998,2018,10,9,British Grand Prix,7/8/18,13:10:00,http://en.wikipedia.org/wiki/2018_British_Grand_Prix,Dry,27.43163265306122,52.16938775510204,1.4612244897959183
986,999,2018,11,10,German Grand Prix,7/22/18,13:10:00,http://en.wikipedia.org/wiki/2018_German_Grand_Prix,1/4 Race,26.40192307692308,40.66826923076923,2.0086538461538463
987,1000,2018,12,11,Hungarian Grand Prix,7/29/18,13:10:00,http://en.wikipedia.org/wiki/2018_Hungarian_Grand_Prix,Dry,33.75887850467289,51.08971962616822,1.1429906542056074
988,1001,2018,13,13,Belgian Grand Prix,8/26/18,13:10:00,http://en.wikipedia.org/wiki/2018_Belgian_Grand_Prix,Dry,17.327358490566038,27.89811320754717,2.039622641509434
989,1002,2018,14,14,Italian Grand Prix,9/2/18,13:10:00,http://en.wikipedia.org/wiki/2018_Italian_Grand_Prix,1/4 Race,22.189898989898992,30.822222222222223,2.1242424242424245
990,1003,2018,15,15,Singapore Grand Prix,9/16/18,12:10:00,http://en.wikipedia.org/wiki/2018_Singapore_Grand_Prix,Dry,29.86541353383459,33.12406015037594,1.978947368421053
991,1004,2018,16,71,Russian Grand Prix,9/30/18,11:10:00,http://en.wikipedia.org/wiki/2018_Russian_Grand_Prix,Minimal,24.778181818181817,29.945454545454545,1.997272727272727
992,1005,2018,17,22,Japanese Grand Prix,10/7/18,5:10:00,http://en.wikipedia.org/wiki/2018_Japanese_Grand_Prix,Dry,28.26481481481482,37.17037037037037,1.7916666666666667
993,1006,2018,18,69,United States Grand Prix,10/21/18,18:10:00,http://en.wikipedia.org/wiki/2018_United_States_Grand_Prix,Dry,21.93358778625954,30.486259541984733,2.0908396946564882
994,1007,2018,19,32,Mexican Grand Prix,10/28/18,19:10:00,http://en.wikipedia.org/wiki/2018_Mexican_Grand_Prix,Dry,20.1231884057971,34.47028985507246,1.5594202898550724
995,1008,2018,20,18,Brazilian Grand Prix,11/11/18,17:10:00,http://en.wikipedia.org/wiki/2018_Brazilian_Grand_Prix,Dry,23.7696,40.0688,2.1872000000000003
996,1009,2018,21,24,Abu Dhabi Grand Prix,11/25/18,13:10:00,http://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix,Minimal,31.273722627737225,33.31824817518248,2.1635036496350364
997,1010,2019,1,1,Australian Grand Prix,3/17/19,5:10:00,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,Dry,23.477868852459014,41.31311475409837,1.166393442622951
998,1011,2019,2,3,Bahrain Grand Prix,3/31/19,15:10:00,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,Dry,26.210852713178294,28.610852713178296,2.7108527131782947
999,1012,2019,3,17,Chinese Grand Prix,4/14/19,6:10:00,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,Dry,19.32992125984252,27.33700787401575,3.3157480314960632
1000,1013,2019,4,73,Azerbaijan Grand Prix,4/28/19,12:10:00,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,Dry,19.76356589147287,39.65426356589147,1.2496124031007751
1001,1014,2019,5,4,Spanish Grand Prix,5/12/19,13:10:00,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,Dry,20.147727272727273,40.72727272727273,1.9295454545454545
1002,1015,2019,6,6,Monaco Grand Prix,5/26/19,13:10:00,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,1/2 Race,22.754676258992802,32.72949640287769,0.9035971223021583
1003,1016,2019,7,7,Canadian Grand Prix,6/9/19,18:10:00,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,Dry,29.368253968253967,51.098412698412695,1.3087301587301585
1004,1017,2019,8,34,French Grand Prix,6/23/19,13:10:00,http://en.wikipedia.org/wiki/2019_French_Grand_Prix,Dry,26.89421487603306,54.525619834710746,1.6785123966942148
1005,1018,2019,9,70,Austrian Grand Prix,6/30/19,13:10:00,http://en.wikipedia.org/wiki/2019_Austrian_Grand_Prix,Dry,34.44406779661016,50.74406779661018,1.225423728813559
1006,1019,2019,10,9,British Grand Prix,7/14/19,13:10:00,http://en.wikipedia.org/wiki/2019_British_Grand_Prix,Dry,18.905084745762718,30.32203389830509,2.011864406779661
1007,1020,2019,11,10,German Grand Prix,7/28/19,13:10:00,http://en.wikipedia.org/wiki/2019_German_Grand_Prix,Full Race,21.503401360544217,26.441496598639453,1.006122448979592
1008,1021,2019,12,11,Hungarian Grand Prix,8/4/19,13:10:00,http://en.wikipedia.org/wiki/2019_Hungarian_Grand_Prix,Dry,25.66,44.096923076923076,1.1938461538461538
1009,1022,2019,13,13,Belgian Grand Prix,9/1/19,13:10:00,http://en.wikipedia.org/wiki/2019_Belgian_Grand_Prix,Dry,17.4,28.119166666666665,2.0358333333333336
1010,1023,2019,14,14,Italian Grand Prix,9/8/19,13:10:00,http://en.wikipedia.org/wiki/2019_Italian_Grand_Prix,Dry,21.0972972972973,33.04054054054055,1.5666666666666667
1011,1024,2019,15,15,Singapore Grand Prix,9/22/19,12:10:00,http://en.wikipedia.org/wiki/2019_Singapore_Grand_Prix,Dry,29.965161290322584,35.752903225806456,1.8574193548387095
1012,1025,2019,16,71,Russian Grand Prix,9/29/19,11:10:00,http://en.wikipedia.org/wiki/2019_Russian_Grand_Prix,Minimal,22.02977099236641,34.33206106870229,1.8740458015267176
1013,1026,2019,17,22,Japanese Grand Prix,10/13/19,5:10:00,http://en.wikipedia.org/wiki/2019_Japanese_Grand_Prix,Dry,21.619354838709675,32.18387096774193,5.468548387096775
1014,1027,2019,18,32,Mexican Grand Prix,10/27/19,19:10:00,http://en.wikipedia.org/wiki/2019_Mexican_Grand_Prix,Dry,23.203030303030303,41.633333333333326,1.3265151515151512
1015,1028,2019,19,69,United States Grand Prix,11/3/19,19:10:00,http://en.wikipedia.org/wiki/2019_United_States_Grand_Prix,Dry,21.475572519083972,29.081679389312974,2.553435114503817
1016,1029,2019,20,18,Brazilian Grand Prix,11/17/19,17:10:00,http://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix,Dry,21.016793893129773,46.45343511450381,1.2877862595419847
1017,1030,2019,21,24,Abu Dhabi Grand Prix,12/1/19,13:10:00,http://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix,Dry,26.018045112781955,29.566165413533835,1.2646616541353384
1018,1031,2020,1,70,Austrian Grand Prix,7/5/20,13:10:00,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,Dry,28.684166666666666,52.025,1.8875
1019,1032,2020,2,70,Styrian Grand Prix,7/12/20,13:10:00,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,Minimal,20.822499999999998,39.919999999999995,2.228333333333333
1020,1033,2020,3,11,Hungarian Grand Prix,7/19/20,13:10:00,http://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix,Minimal,20.74179104477612,27.129850746268662,1.5597014925373132
1021,1034,2020,4,9,British Grand Prix,8/2/20,13:10:00,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,Dry,21.29140625,40.6328125,3.1140625
1022,1035,2020,5,9,70th Anniversary Grand Prix,8/9/20,13:10:00,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,Dry,25.287068965517243,43.227586206896554,2.236206896551724
1023,1036,2020,6,4,Spanish Grand Prix,8/16/20,13:10:00,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,Dry,29.7968992248062,47.55581395348836,1.5449612403100776
1024,1037,2020,7,13,Belgian Grand Prix,8/30/20,13:10:00,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,Dry,18.568595041322315,29.823966942148758,1.465289256198347
1025,1038,2020,8,14,Italian Grand Prix,9/6/20,13:10:00,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,Dry,28.090909090909093,41.201398601398594,1.520979020979021
1026,1039,2020,9,76,Tuscan Grand Prix,9/13/20,13:10:00,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,Dry,30.169886363636362,43.10227272727273,2.3647727272727277
1027,1040,2020,10,71,Russian Grand Prix,9/27/20,11:10:00,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,Dry,28.806060606060612,40.342424242424244,1.428787878787879
1028,1041,2020,11,20,Eifel Grand Prix,10/11/20,13:10:00,http://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix,Minimal,9.499999999999998,16.360204081632652,1.6173469387755104
1029,1042,2020,12,75,Portuguese Grand Prix,10/25/20,12:10:00,http://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,Dry,20.50546875,25.715625,4.040625
1030,1043,2020,13,21,Emilia Romagna Grand Prix,11/1/20,12:10:00,http://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix,Dry,18.0304,23.2608,1.3416
1031,1044,2020,14,5,Turkish Grand Prix,11/15/20,10:10:00,http://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix,Minimal,13.09568345323741,15.205755395683456,1.0661870503597122
1032,1045,2020,15,3,Bahrain Grand Prix,11/29/20,14:10:00,http://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix,Dry,25.09907407407407,27.548148148148147,0.8430555555555557
1033,1046,2020,16,3,Sakhir Grand Prix,12/6/20,17:10:00,http://en.wikipedia.org/wiki/2020_Sakhir_Grand_Prix,Dry,20.947244094488195,23.469291338582668,1.9480314960629919
1034,1047,2020,17,24,Abu Dhabi Grand Prix,12/13/20,13:10:00,http://en.wikipedia.org/wiki/2020_Abu_Dhabi_Grand_Prix,Dry,23.121481481481478,27.98,2.504444444444444
1035,1053,2021,2,21,Emilia Romagna Grand Prix,4/18/21,13:00:00,http://en.wikipedia.org/wiki/2021_Emilia_Romagna_Grand_Prix,1/4 Race,10.621118012422361,16.827329192546582,0.4788819875776397
1037,1052,2021,1,3,Bahrain Grand Prix,3/28/21,15:00:00,http://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix,Dry,20.53834586466165,27.627819548872182,0.8872180451127819
1038,1051,2021,20,78,Qatar Grand Prix,11/21/21,14:00:00,http://en.wikipedia.org/wiki/2021_Qatar_Grand_Prix,Minimal,26.41513157894737,30.60328947368421,0.42302631578947364
1039,1054,2021,3,75,Portuguese Grand Prix,5/2/21,14:00:00,http://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix,Dry,19.392537313432832,38.950746268656715,0.8373134328358208
1040,1055,2021,4,4,Spanish Grand Prix,5/9/21,13:00:00,http://en.wikipedia.org/wiki/2021_Spanish_Grand_Prix,Dry,22.203076923076924,32.9223076923077,0.4576923076923077
1041,1056,2021,5,6,Monaco Grand Prix,5/23/21,13:00:00,http://en.wikipedia.org/wiki/2021_Monaco_Grand_Prix,Dry,20.760740740740744,37.595555555555556,0.3162962962962963
1042,1057,2021,6,73,Azerbaijan Grand Prix,6/6/21,12:00:00,http://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix,Dry,24.17093023255814,38.31453488372093,0.2837209302325581
1043,1058,2021,8,70,Styrian Grand Prix,6/27/21,13:00:00,http://en.wikipedia.org/wiki/2021_Styrian_Grand_Prix,Dry,26.692372881355933,52.35254237288136,0.36779661016949144
1044,1059,2021,7,34,French Grand Prix,6/20/21,13:00:00,http://en.wikipedia.org/wiki/2021_French_Grand_Prix,Dry,25.314399999999996,35.22879999999999,1.1656
1045,1060,2021,9,70,Austrian Grand Prix,7/4/21,13:00:00,http://en.wikipedia.org/wiki/2021_Austrian_Grand_Prix,Minimal,20.96602564102564,33.18397435897436,0.34807692307692306
1046,1061,2021,10,9,British Grand Prix,7/18/21,14:00:00,http://en.wikipedia.org/wiki/2021_British_Grand_Prix,Dry,29.400000000000002,50.93152173913043,0.3179347826086957
1047,1062,2021,11,11,Hungarian Grand Prix,8/1/21,13:00:00,http://en.wikipedia.org/wiki/2021_Hungarian_Grand_Prix,1/4 Race,27.226701570680625,37.822513089005234,0.5675392670157068
1048,1063,2021,12,13,Belgian Grand Prix,8/29/21,13:00:00,http://en.wikipedia.org/wiki/2021_Belgian_Grand_Prix,3/4 Race,13.012413793103448,15.258620689655173,0.5113793103448276
1049,1064,2021,13,39,Dutch Grand Prix,9/5/21,13:00:00,http://en.wikipedia.org/wiki/2021_Dutch_Grand_Prix,Dry,21.504430379746836,36.10569620253165,0.4424050632911392
1050,1065,2021,14,14,Italian Grand Prix,9/12/21,13:00:00,http://en.wikipedia.org/wiki/2021_Italian_Grand_Prix,Dry,28.885234899328864,43.52751677852349,0.3429530201342281
1051,1066,2021,15,71,Russian Grand Prix,9/26/21,12:00:00,http://en.wikipedia.org/wiki/2021_Russian_Grand_Prix,Minimal,19.13860759493671,21.75696202531645,0.2905063291139241
1052,1067,2021,16,5,Turkish Grand Prix,10/10/21,12:00:00,http://en.wikipedia.org/wiki/2021_Turkish_Grand_Prix,Dry,15.82547770700637,18.18089171974522,0.486624203821656
1053,1069,2021,17,69,United States Grand Prix,10/24/21,19:00:00,http://en.wikipedia.org/wiki/2021_United_States_Grand_Prix,Dry,28.148447204968942,37.47080745341616,0.8540372670807453
1054,1070,2021,18,32,Mexico City Grand Prix,11/7/21,19:00:00,http://en.wikipedia.org/wiki/2021_Mexican_Grand_Prix,Dry,21.206707317073167,47.579268292682926,0.3664634146341464
1055,1071,2021,19,18,São Paulo Grand Prix,11/14/21,17:00:00,http://en.wikipedia.org/wiki/São_Paulo_Grand_Prix,Dry,23.1373417721519,51.56139240506329,0.3917721518987342
1056,1072,2021,21,77,Saudi Arabian Grand Prix,12/5/21,17:30:00,http://en.wikipedia.org/wiki/2021_Saudi_Arabian_Grand_Prix,Dry,28.816062176165804,31.68497409326425,0.27150259067357513
1057,1073,2021,22,24,Abu Dhabi Grand Prix,12/12/21,13:00:00,http://en.wikipedia.org/wiki/2021_Abu_Dhabi_Grand_Prix,Dry,24.519108280254777,28.465605095541402,0.4146496815286624
